adapt	github/awesome-copilot	mcp-create-adaptive-cards	CUSTOMIZED	241/532	+231/-522	skills/mcp-create-adaptive-cards/SKILL.md
adr	addyosmani/agent-skills	documentation-and-adrs	CUSTOMIZED	370/278	+302/-210	skills/documentation-and-adrs/SKILL.md
blog-writing	getsentry/skills	blog-writing-guide	CUSTOMIZED	156/215	+105/-164	skills/blog-writing-guide/SKILL.md
brainstorming	obra/superpowers	brainstorming	IDENTICAL	164/164	+0/-0	skills/brainstorming/SKILL.md
computer-use-agents	sickn33/antigravity-awesome-skills	computer-use-agents	CUSTOMIZED	2394/2166	+228/-0	skills/computer-use-agents/SKILL.md
dispatching-parallel-agents	obra/superpowers	dispatching-parallel-agents	IDENTICAL	182/182	+0/-0	skills/dispatching-parallel-agents/SKILL.md
dogfood	callstackincubator/agent-device	dogfood	CUSTOMIZED	232/27	+215/-10	skills/dogfood/SKILL.md
receiving-code-review	obra/superpowers	receiving-code-review	IDENTICAL	213/213	+0/-0	skills/receiving-code-review/SKILL.md
requesting-code-review	obra/superpowers	requesting-code-review	MERE-COPY	105/103	+9/-7	skills/requesting-code-review/SKILL.md
review-plan	travisjneuman/.claude	literature-review-planner	CUSTOMIZED	245/465	+161/-381	skills/literature-review-planner/SKILL.md
review-python	nesnilnehc/ai-cortex	review-python	CUSTOMIZED	222/184	+160/-122	skills/review-python/SKILL.md
seo-audit	coreyhaines31/marketingskills	seo-audit	CUSTOMIZED	412/497	+7/-92	skills/seo-audit/SKILL.md
subagent-driven-development	obra/superpowers	subagent-driven-development	MERE-COPY	277/279	+1/-3	skills/subagent-driven-development/SKILL.md
systematic-debugging	obra/superpowers	systematic-debugging	IDENTICAL	296/296	+0/-0	skills/systematic-debugging/SKILL.md
agent-sandbox	ruvnet/ruflo	agent-sandbox	CUSTOMIZED	273/80	+267/-75	.agents/skills/agent-sandbox/SKILL.md
changeset	openai/openai-agents-js	changeset-validation	CUSTOMIZED	175/53	+157/-35	.agents/skills/changeset-validation/SKILL.md
advanced-elicitation	-	-	no-upstream-known	-	-	-
agent-architecture-analysis	existential-birds/beagle	-	fetch-failed	-	-	plugins/beagle-ai/skills/agent-architecture-analysis/SKILL.md
better-auth-best-practices	better-auth/skills	-	CUSTOMIZED	1142/174	+1074/-107	better-auth/best-practices/SKILL.md
better-auth-security	better-auth/skills	-	fetch-failed	-	-	better-auth/security-best-practices/SKILL.md
better-auth	better-auth/skills	-	CUSTOMIZED	1319/174	+1168/-24	better-auth/best-practices/SKILL.md
colorize	-	-	no-upstream-known	-	-	-
deepagents	-	-	no-upstream-known	-	-	-
draft-docs	existential-birds/beagle	-	fetch-failed	-	-	plugins/beagle-ai/skills/draft-docs/SKILL.md
pydantic-ai-common-pitfalls	existential-birds/beagle	-	LIGHT-EDIT	330/323	+15/-8	plugins/beagle-ai/skills/pydantic-ai-common-pitfalls/SKILL.md
pydantic-ai-testing	existential-birds/beagle	-	LIGHT-EDIT	277/273	+15/-11	plugins/beagle-ai/skills/pydantic-ai-testing/SKILL.md
pydanticai-docs	dougtrajano/pydantic-ai-skills	-	MERE-COPY	136/121	+15/-0	examples/skills/pydanticai-docs/SKILL.md
python-code-review	existential-birds/beagle	-	fetch-failed	-	-	plugins/beagle-ai/skills/python-code-review/SKILL.md
react-best-practices	vercel-labs/agent-skills	-	CUSTOMIZED	89/149	+81/-141	skills/react-best-practices/SKILL.md
react	vercel-labs/agent-skills	-	CUSTOMIZED	1206/149	+1198/-141	skills/react-best-practices/SKILL.md
review-llm-artifacts	existential-birds/beagle	-	fetch-failed	-	-	plugins/beagle-ai/skills/review-llm-artifacts/SKILL.md
review-rust	-	-	no-upstream-known	-	-	-
rust-review	-	-	no-upstream-known	-	-	-
sqlalchemy-code-review	existential-birds/beagle	-	fetch-failed	-	-	plugins/beagle-ai/skills/sqlalchemy-code-review/SKILL.md
sqlite-vec	existential-birds/beagle	-	fetch-failed	-	-	plugins/beagle-ai/skills/sqlite-vec/SKILL.md
stitch-design-taste	-	-	no-upstream-known	-	-	-
tailwind-v4	-	-	no-upstream-known	-	-	-
tanstack-router-best-practices	-	-	no-upstream-known	-	-	-
